item_name,singer,song_name,group_name,binary_role,mix_variant,mix_prob,fp_margin
English#EN-Alto-2#Mixed_Voice_and_Falsetto#City Of Stars#Control_Group#0007,EN-Alto-2,City Of Stars,Control_Group,control_negative,non_mix,0.995819,0.595819
English#EN-Alto-2#Mixed_Voice_and_Falsetto#Five Hundred Miles#Control_Group#0001,EN-Alto-2,Five Hundred Miles,Control_Group,control_negative,non_mix,0.995756,0.595756
English#EN-Alto-2#Mixed_Voice_and_Falsetto#Young And Beautiful#Control_Group#0000,EN-Alto-2,Young And Beautiful,Control_Group,control_negative,non_mix,0.995742,0.595742
English#EN-Alto-2#Mixed_Voice_and_Falsetto#God is A Girl#Falsetto_Group#0002,EN-Alto-2,God is A Girl,Falsetto_Group,falsetto_group,non_mix,0.9957,0.5957
English#EN-Alto-2#Mixed_Voice_and_Falsetto#Someone You Loved#Control_Group#0003,EN-Alto-2,Someone You Loved,Control_Group,control_negative,non_mix,0.995554,0.595554
English#EN-Alto-2#Mixed_Voice_and_Falsetto#Love Story#Falsetto_Group#0002,EN-Alto-2,Love Story,Falsetto_Group,falsetto_group,non_mix,0.995398,0.595398
English#EN-Alto-2#Mixed_Voice_and_Falsetto#Easy On Me#Control_Group#0002,EN-Alto-2,Easy On Me,Control_Group,control_negative,non_mix,0.995332,0.595332
English#EN-Alto-2#Pharyngeal#You Raise Me Up#Pharyngeal_Group#0002,EN-Alto-2,You Raise Me Up,Pharyngeal_Group,other_negative,non_mix,0.995171,0.595171
English#EN-Alto-2#Mixed_Voice_and_Falsetto#Fly Me to the Moon#Control_Group#0004,EN-Alto-2,Fly Me to the Moon,Control_Group,control_negative,non_mix,0.995102,0.595102
English#EN-Alto-2#Mixed_Voice_and_Falsetto#Fly Me to the Moon#Control_Group#0000,EN-Alto-2,Fly Me to the Moon,Control_Group,control_negative,non_mix,0.995037,0.595037
English#EN-Alto-2#Mixed_Voice_and_Falsetto#A Thousand Years#Falsetto_Group#0007,EN-Alto-2,A Thousand Years,Falsetto_Group,falsetto_group,non_mix,0.995027,0.595027
English#EN-Alto-2#Breathy#Young And Beautiful#Breathy_Group#0005,EN-Alto-2,Young And Beautiful,Breathy_Group,breathy_group,non_mix,0.995004,0.595004
English#EN-Alto-2#Mixed_Voice_and_Falsetto#Fly Me to the Moon#Control_Group#0001,EN-Alto-2,Fly Me to the Moon,Control_Group,control_negative,non_mix,0.99491,0.59491
English#EN-Alto-2#Mixed_Voice_and_Falsetto#Safe and Sound#Control_Group#0004,EN-Alto-2,Safe and Sound,Control_Group,control_negative,non_mix,0.994799,0.594799
English#EN-Alto-2#Mixed_Voice_and_Falsetto#Fly Me to the Moon#Falsetto_Group#0001,EN-Alto-2,Fly Me to the Moon,Falsetto_Group,falsetto_group,non_mix,0.994798,0.594798
English#EN-Alto-2#Pharyngeal#Safe and Sound#Pharyngeal_Group#0004,EN-Alto-2,Safe and Sound,Pharyngeal_Group,other_negative,non_mix,0.994658,0.594658
English#EN-Alto-2#Mixed_Voice_and_Falsetto#This Is Me#Control_Group#0002,EN-Alto-2,This Is Me,Control_Group,control_negative,non_mix,0.994402,0.594402
English#EN-Alto-2#Mixed_Voice_and_Falsetto#Lemon Tree#Falsetto_Group#0001,EN-Alto-2,Lemon Tree,Falsetto_Group,falsetto_group,non_mix,0.994398,0.594398
English#EN-Alto-2#Mixed_Voice_and_Falsetto#Fly Me to the Moon#Control_Group#0002,EN-Alto-2,Fly Me to the Moon,Control_Group,control_negative,non_mix,0.994329,0.594329
English#EN-Alto-2#Mixed_Voice_and_Falsetto#Dream It Possible#Control_Group#0001,EN-Alto-2,Dream It Possible,Control_Group,control_negative,non_mix,0.993945,0.593945
English#EN-Alto-2#Breathy#Love Me Like You Do#Breathy_Group#0007,EN-Alto-2,Love Me Like You Do,Breathy_Group,breathy_group,non_mix,0.993923,0.593923
English#EN-Alto-2#Mixed_Voice_and_Falsetto#Five Hundred Miles#Control_Group#0007,EN-Alto-2,Five Hundred Miles,Control_Group,control_negative,non_mix,0.993866,0.593866
English#EN-Alto-2#Mixed_Voice_and_Falsetto#Hey Jude#Control_Group#0001,EN-Alto-2,Hey Jude,Control_Group,control_negative,non_mix,0.993865,0.593865
English#EN-Alto-2#Mixed_Voice_and_Falsetto#Easy On Me#Falsetto_Group#0002,EN-Alto-2,Easy On Me,Falsetto_Group,falsetto_group,non_mix,0.993826,0.593826
English#EN-Alto-2#Mixed_Voice_and_Falsetto#A Thousand Years#Control_Group#0006,EN-Alto-2,A Thousand Years,Control_Group,control_negative,non_mix,0.993766,0.593766
English#EN-Alto-2#Pharyngeal#Fly Me to the Moon#Pharyngeal_Group#0001,EN-Alto-2,Fly Me to the Moon,Pharyngeal_Group,other_negative,non_mix,0.993657,0.593657
English#EN-Alto-2#Mixed_Voice_and_Falsetto#Fly Me to the Moon#Falsetto_Group#0002,EN-Alto-2,Fly Me to the Moon,Falsetto_Group,falsetto_group,non_mix,0.993654,0.593654
English#EN-Alto-2#Mixed_Voice_and_Falsetto#Love Story#Falsetto_Group#0003,EN-Alto-2,Love Story,Falsetto_Group,falsetto_group,non_mix,0.993583,0.593583
English#EN-Alto-2#Mixed_Voice_and_Falsetto#Call Me Maybe#Falsetto_Group#0002,EN-Alto-2,Call Me Maybe,Falsetto_Group,falsetto_group,non_mix,0.993517,0.593517
English#EN-Alto-2#Pharyngeal#Someone Like You#Pharyngeal_Group#0002,EN-Alto-2,Someone Like You,Pharyngeal_Group,other_negative,non_mix,0.993404,0.593404
English#EN-Alto-2#Mixed_Voice_and_Falsetto#City Of Stars#Control_Group#0008,EN-Alto-2,City Of Stars,Control_Group,control_negative,non_mix,0.993383,0.593383
English#EN-Alto-2#Mixed_Voice_and_Falsetto#Love Me Like You Do#Control_Group#0001,EN-Alto-2,Love Me Like You Do,Control_Group,control_negative,non_mix,0.993376,0.593376
English#EN-Alto-2#Mixed_Voice_and_Falsetto#God is A Girl#Control_Group#0001,EN-Alto-2,God is A Girl,Control_Group,control_negative,non_mix,0.993316,0.593316
English#EN-Alto-2#Mixed_Voice_and_Falsetto#You Raise Me Up#Control_Group#0006,EN-Alto-2,You Raise Me Up,Control_Group,control_negative,non_mix,0.993215,0.593215
English#EN-Alto-2#Breathy#All of Me#Breathy_Group#0005,EN-Alto-2,All of Me,Breathy_Group,breathy_group,non_mix,0.993208,0.593208
English#EN-Alto-2#Mixed_Voice_and_Falsetto#Easy On Me#Control_Group#0000,EN-Alto-2,Easy On Me,Control_Group,control_negative,non_mix,0.993205,0.593205
English#EN-Alto-2#Mixed_Voice_and_Falsetto#YOUTH#Control_Group#0001,EN-Alto-2,YOUTH,Control_Group,control_negative,non_mix,0.993135,0.593135
English#EN-Alto-2#Mixed_Voice_and_Falsetto#Young And Beautiful#Control_Group#0005,EN-Alto-2,Young And Beautiful,Control_Group,control_negative,non_mix,0.992945,0.592945
English#EN-Alto-2#Mixed_Voice_and_Falsetto#Young And Beautiful#Falsetto_Group#0004,EN-Alto-2,Young And Beautiful,Falsetto_Group,falsetto_group,non_mix,0.992917,0.592917
English#EN-Alto-2#Mixed_Voice_and_Falsetto#The Show#Control_Group#0000,EN-Alto-2,The Show,Control_Group,control_negative,non_mix,0.992844,0.592844
English#EN-Alto-2#Mixed_Voice_and_Falsetto#City Of Stars#Control_Group#0009,EN-Alto-2,City Of Stars,Control_Group,control_negative,non_mix,0.992665,0.592665
English#EN-Alto-2#Mixed_Voice_and_Falsetto#Seasons of Love#Falsetto_Group#0002,EN-Alto-2,Seasons of Love,Falsetto_Group,falsetto_group,non_mix,0.992475,0.592475
English#EN-Alto-2#Mixed_Voice_and_Falsetto#Love Me Like You Do#Control_Group#0000,EN-Alto-2,Love Me Like You Do,Control_Group,control_negative,non_mix,0.992471,0.592471
English#EN-Alto-2#Mixed_Voice_and_Falsetto#My Heart Will Go On#Control_Group#0006,EN-Alto-2,My Heart Will Go On,Control_Group,control_negative,non_mix,0.992436,0.592436
English#EN-Alto-2#Pharyngeal#My Heart Will Go On#Pharyngeal_Group#0006,EN-Alto-2,My Heart Will Go On,Pharyngeal_Group,other_negative,non_mix,0.992436,0.592436
English#EN-Alto-2#Mixed_Voice_and_Falsetto#Fly Me to the Moon#Control_Group#0003,EN-Alto-2,Fly Me to the Moon,Control_Group,control_negative,non_mix,0.992423,0.592423
English#EN-Alto-2#Pharyngeal#Safe and Sound#Pharyngeal_Group#0000,EN-Alto-2,Safe and Sound,Pharyngeal_Group,other_negative,non_mix,0.99238,0.59238
English#EN-Alto-2#Mixed_Voice_and_Falsetto#YOUTH#Falsetto_Group#0003,EN-Alto-2,YOUTH,Falsetto_Group,falsetto_group,non_mix,0.992359,0.592359
English#EN-Alto-2#Mixed_Voice_and_Falsetto#Safe and Sound#Control_Group#0005,EN-Alto-2,Safe and Sound,Control_Group,control_negative,non_mix,0.992333,0.592333
English#EN-Alto-2#Mixed_Voice_and_Falsetto#Hello#Control_Group#0007,EN-Alto-2,Hello,Control_Group,control_negative,non_mix,0.992275,0.592275
English#EN-Alto-2#Pharyngeal#Young And Beautiful#Pharyngeal_Group#0003,EN-Alto-2,Young And Beautiful,Pharyngeal_Group,other_negative,non_mix,0.992181,0.592181
English#EN-Alto-2#Mixed_Voice_and_Falsetto#The Show#Control_Group#0003,EN-Alto-2,The Show,Control_Group,control_negative,non_mix,0.99218,0.59218
English#EN-Alto-2#Mixed_Voice_and_Falsetto#The Show#Control_Group#0002,EN-Alto-2,The Show,Control_Group,control_negative,non_mix,0.992174,0.592174
English#EN-Alto-2#Mixed_Voice_and_Falsetto#Call Me Maybe#Falsetto_Group#0000,EN-Alto-2,Call Me Maybe,Falsetto_Group,falsetto_group,non_mix,0.9921,0.5921
English#EN-Alto-2#Mixed_Voice_and_Falsetto#All of Me#Falsetto_Group#0007,EN-Alto-2,All of Me,Falsetto_Group,falsetto_group,non_mix,0.992042,0.592042
English#EN-Alto-2#Pharyngeal#Safe and Sound#Pharyngeal_Group#0002,EN-Alto-2,Safe and Sound,Pharyngeal_Group,other_negative,non_mix,0.992025,0.592025
English#EN-Alto-2#Mixed_Voice_and_Falsetto#Five Hundred Miles#Control_Group#0002,EN-Alto-2,Five Hundred Miles,Control_Group,control_negative,non_mix,0.991973,0.591973
English#EN-Alto-2#Mixed_Voice_and_Falsetto#Love Me Like You Do#Falsetto_Group#0004,EN-Alto-2,Love Me Like You Do,Falsetto_Group,falsetto_group,non_mix,0.991971,0.591971
English#EN-Alto-2#Mixed_Voice_and_Falsetto#Cry on My Shoulder#Falsetto_Group#0005,EN-Alto-2,Cry on My Shoulder,Falsetto_Group,falsetto_group,non_mix,0.991931,0.591931
English#EN-Alto-2#Mixed_Voice_and_Falsetto#God is A Girl#Control_Group#0003,EN-Alto-2,God is A Girl,Control_Group,control_negative,non_mix,0.991885,0.591885
English#EN-Alto-2#Mixed_Voice_and_Falsetto#Cry on My Shoulder#Control_Group#0002,EN-Alto-2,Cry on My Shoulder,Control_Group,control_negative,non_mix,0.991749,0.591749
English#EN-Alto-2#Pharyngeal#You Raise Me Up#Pharyngeal_Group#0004,EN-Alto-2,You Raise Me Up,Pharyngeal_Group,other_negative,non_mix,0.991662,0.591662
English#EN-Alto-2#Mixed_Voice_and_Falsetto#Five Hundred Miles#Control_Group#0004,EN-Alto-2,Five Hundred Miles,Control_Group,control_negative,non_mix,0.991634,0.591634
English#EN-Alto-2#Mixed_Voice_and_Falsetto#My Love#Falsetto_Group#0005,EN-Alto-2,My Love,Falsetto_Group,falsetto_group,non_mix,0.991587,0.591587
English#EN-Alto-2#Mixed_Voice_and_Falsetto#Hey Jude#Falsetto_Group#0000,EN-Alto-2,Hey Jude,Falsetto_Group,falsetto_group,non_mix,0.991546,0.591546
English#EN-Alto-2#Pharyngeal#Love Me Like You Do#Pharyngeal_Group#0000,EN-Alto-2,Love Me Like You Do,Pharyngeal_Group,other_negative,non_mix,0.991546,0.591546
English#EN-Alto-2#Mixed_Voice_and_Falsetto#God is A Girl#Falsetto_Group#0000,EN-Alto-2,God is A Girl,Falsetto_Group,falsetto_group,non_mix,0.991354,0.591354
English#EN-Alto-2#Mixed_Voice_and_Falsetto#Young And Beautiful#Control_Group#0002,EN-Alto-2,Young And Beautiful,Control_Group,control_negative,non_mix,0.991348,0.591348
English#EN-Alto-2#Mixed_Voice_and_Falsetto#This Is Me#Falsetto_Group#0004,EN-Alto-2,This Is Me,Falsetto_Group,falsetto_group,non_mix,0.991343,0.591343
English#EN-Alto-2#Mixed_Voice_and_Falsetto#My Heart Will Go On#Control_Group#0000,EN-Alto-2,My Heart Will Go On,Control_Group,control_negative,non_mix,0.991303,0.591303
English#EN-Alto-2#Pharyngeal#My Heart Will Go On#Pharyngeal_Group#0000,EN-Alto-2,My Heart Will Go On,Pharyngeal_Group,other_negative,non_mix,0.991303,0.591303
English#EN-Alto-2#Mixed_Voice_and_Falsetto#Let Her Go#Control_Group#0000,EN-Alto-2,Let Her Go,Control_Group,control_negative,non_mix,0.991298,0.591298
English#EN-Alto-2#Vibrato#Easy On Me#Control_Group#0004,EN-Alto-2,Easy On Me,Control_Group,control_negative,non_mix,0.991192,0.591192
English#EN-Alto-2#Pharyngeal#Dream It Possible#Pharyngeal_Group#0002,EN-Alto-2,Dream It Possible,Pharyngeal_Group,other_negative,non_mix,0.990911,0.590911
English#EN-Alto-2#Breathy#Love Me Like You Do#Breathy_Group#0006,EN-Alto-2,Love Me Like You Do,Breathy_Group,breathy_group,non_mix,0.990899,0.590899
English#EN-Alto-2#Mixed_Voice_and_Falsetto#Dream It Possible#Control_Group#0004,EN-Alto-2,Dream It Possible,Control_Group,control_negative,non_mix,0.990876,0.590876
English#EN-Alto-2#Mixed_Voice_and_Falsetto#Dream It Possible#Falsetto_Group#0002,EN-Alto-2,Dream It Possible,Falsetto_Group,falsetto_group,non_mix,0.990847,0.590847
English#EN-Alto-2#Pharyngeal#Young And Beautiful#Pharyngeal_Group#0000,EN-Alto-2,Young And Beautiful,Pharyngeal_Group,other_negative,non_mix,0.990799,0.590799
English#EN-Alto-2#Mixed_Voice_and_Falsetto#Safe and Sound#Control_Group#0000,EN-Alto-2,Safe and Sound,Control_Group,control_negative,non_mix,0.990756,0.590756
English#EN-Alto-2#Mixed_Voice_and_Falsetto#What Are Words#Falsetto_Group#0001,EN-Alto-2,What Are Words,Falsetto_Group,falsetto_group,non_mix,0.990694,0.590694
English#EN-Alto-2#Mixed_Voice_and_Falsetto#YOUTH#Control_Group#0000,EN-Alto-2,YOUTH,Control_Group,control_negative,non_mix,0.990668,0.590668
English#EN-Alto-2#Pharyngeal#Dream It Possible#Pharyngeal_Group#0003,EN-Alto-2,Dream It Possible,Pharyngeal_Group,other_negative,non_mix,0.990663,0.590663
English#EN-Alto-2#Pharyngeal#Easy On Me#Pharyngeal_Group#0000,EN-Alto-2,Easy On Me,Pharyngeal_Group,other_negative,non_mix,0.990605,0.590605
English#EN-Alto-2#Breathy#Easy On Me#Breathy_Group#0002,EN-Alto-2,Easy On Me,Breathy_Group,breathy_group,non_mix,0.990554,0.590554
English#EN-Alto-2#Mixed_Voice_and_Falsetto#Call Me Maybe#Falsetto_Group#0004,EN-Alto-2,Call Me Maybe,Falsetto_Group,falsetto_group,non_mix,0.990535,0.590535
English#EN-Alto-2#Mixed_Voice_and_Falsetto#Call Me Maybe#Falsetto_Group#0001,EN-Alto-2,Call Me Maybe,Falsetto_Group,falsetto_group,non_mix,0.990523,0.590523
English#EN-Alto-2#Breathy#Young And Beautiful#Breathy_Group#0003,EN-Alto-2,Young And Beautiful,Breathy_Group,breathy_group,non_mix,0.990511,0.590511
English#EN-Alto-2#Pharyngeal#Someone Like You#Pharyngeal_Group#0000,EN-Alto-2,Someone Like You,Pharyngeal_Group,other_negative,non_mix,0.990444,0.590444
English#EN-Alto-2#Mixed_Voice_and_Falsetto#Hey Jude#Falsetto_Group#0005,EN-Alto-2,Hey Jude,Falsetto_Group,falsetto_group,non_mix,0.990255,0.590255
English#EN-Alto-2#Mixed_Voice_and_Falsetto#The Show#Falsetto_Group#0002,EN-Alto-2,The Show,Falsetto_Group,falsetto_group,non_mix,0.989989,0.589989
English#EN-Alto-2#Mixed_Voice_and_Falsetto#All of Me#Falsetto_Group#0000,EN-Alto-2,All of Me,Falsetto_Group,falsetto_group,non_mix,0.989777,0.589777
English#EN-Alto-2#Mixed_Voice_and_Falsetto#A Thousand Years#Control_Group#0003,EN-Alto-2,A Thousand Years,Control_Group,control_negative,non_mix,0.989769,0.589769
English#EN-Alto-2#Mixed_Voice_and_Falsetto#Dream It Possible#Control_Group#0003,EN-Alto-2,Dream It Possible,Control_Group,control_negative,non_mix,0.989659,0.589659
English#EN-Alto-2#Mixed_Voice_and_Falsetto#Five Hundred Miles#Control_Group#0008,EN-Alto-2,Five Hundred Miles,Control_Group,control_negative,non_mix,0.989647,0.589647
English#EN-Alto-2#Mixed_Voice_and_Falsetto#God is A Girl#Falsetto_Group#0006,EN-Alto-2,God is A Girl,Falsetto_Group,falsetto_group,non_mix,0.989576,0.589576
English#EN-Alto-2#Mixed_Voice_and_Falsetto#Hello#Control_Group#0003,EN-Alto-2,Hello,Control_Group,control_negative,non_mix,0.989416,0.589416
English#EN-Alto-2#Mixed_Voice_and_Falsetto#God is A Girl#Falsetto_Group#0005,EN-Alto-2,God is A Girl,Falsetto_Group,falsetto_group,non_mix,0.989306,0.589306
English#EN-Alto-2#Mixed_Voice_and_Falsetto#A Thousand Years#Control_Group#0007,EN-Alto-2,A Thousand Years,Control_Group,control_negative,non_mix,0.989222,0.589222
English#EN-Alto-2#Mixed_Voice_and_Falsetto#Safe and Sound#Falsetto_Group#0000,EN-Alto-2,Safe and Sound,Falsetto_Group,falsetto_group,non_mix,0.989018,0.589018
English#EN-Alto-2#Mixed_Voice_and_Falsetto#Cry on My Shoulder#Falsetto_Group#0007,EN-Alto-2,Cry on My Shoulder,Falsetto_Group,falsetto_group,non_mix,0.988854,0.588854
English#EN-Alto-2#Mixed_Voice_and_Falsetto#Five Hundred Miles#Control_Group#0003,EN-Alto-2,Five Hundred Miles,Control_Group,control_negative,non_mix,0.98883,0.58883
English#EN-Alto-2#Mixed_Voice_and_Falsetto#Love Story#Control_Group#0001,EN-Alto-2,Love Story,Control_Group,control_negative,non_mix,0.988828,0.588828
English#EN-Alto-2#Mixed_Voice_and_Falsetto#Young And Beautiful#Falsetto_Group#0003,EN-Alto-2,Young And Beautiful,Falsetto_Group,falsetto_group,non_mix,0.988738,0.588738
English#EN-Alto-2#Mixed_Voice_and_Falsetto#What Are Words#Falsetto_Group#0007,EN-Alto-2,What Are Words,Falsetto_Group,falsetto_group,non_mix,0.988293,0.588293
English#EN-Alto-2#Mixed_Voice_and_Falsetto#Lemon Tree#Control_Group#0002,EN-Alto-2,Lemon Tree,Control_Group,control_negative,non_mix,0.988274,0.588274
English#EN-Alto-2#Breathy#Someone You Loved#Breathy_Group#0005,EN-Alto-2,Someone You Loved,Breathy_Group,breathy_group,non_mix,0.988092,0.588092
English#EN-Alto-2#Pharyngeal#Fly Me to the Moon#Pharyngeal_Group#0000,EN-Alto-2,Fly Me to the Moon,Pharyngeal_Group,other_negative,non_mix,0.988071,0.588071
English#EN-Alto-2#Mixed_Voice_and_Falsetto#Yesterday Once More#Control_Group#0005,EN-Alto-2,Yesterday Once More,Control_Group,control_negative,non_mix,0.987993,0.587993
English#EN-Alto-2#Mixed_Voice_and_Falsetto#Seasons of Love#Falsetto_Group#0000,EN-Alto-2,Seasons of Love,Falsetto_Group,falsetto_group,non_mix,0.987808,0.587808
English#EN-Alto-2#Mixed_Voice_and_Falsetto#God is A Girl#Falsetto_Group#0004,EN-Alto-2,God is A Girl,Falsetto_Group,falsetto_group,non_mix,0.987768,0.587768
English#EN-Alto-2#Mixed_Voice_and_Falsetto#Love Me Like You Do#Falsetto_Group#0007,EN-Alto-2,Love Me Like You Do,Falsetto_Group,falsetto_group,non_mix,0.987722,0.587722
English#EN-Alto-2#Mixed_Voice_and_Falsetto#Love Me Like You Do#Falsetto_Group#0001,EN-Alto-2,Love Me Like You Do,Falsetto_Group,falsetto_group,non_mix,0.987682,0.587682
English#EN-Alto-2#Mixed_Voice_and_Falsetto#My Heart Will Go On#Control_Group#0010,EN-Alto-2,My Heart Will Go On,Control_Group,control_negative,non_mix,0.987613,0.587613
English#EN-Alto-2#Mixed_Voice_and_Falsetto#A Thousand Years#Control_Group#0005,EN-Alto-2,A Thousand Years,Control_Group,control_negative,non_mix,0.98754,0.58754
English#EN-Alto-2#Mixed_Voice_and_Falsetto#A Thousand Years#Control_Group#0000,EN-Alto-2,A Thousand Years,Control_Group,control_negative,non_mix,0.987427,0.587427
