item_name,wav_path,wav_fn,language,singer,song_name,group_name,mix,falsetto,breathy,vibrato,glissando,pharyngeal,any_tech,mix_variant,label_signature,binary_role,increment_repeat_index,increment_repeat_count,mined_mix_prob,mined_device,mined_selection_role,mined_rank,mined_pool_size
English#EN-Alto-1#Mixed_Voice_and_Falsetto#you raise me up#Control_Group#0002,D:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\English\EN-Alto-1\Mixed_Voice_and_Falsetto\you raise me up\Control_Group\0002.wav,English/EN-Alto-1/Mixed_Voice_and_Falsetto/you raise me up/Control_Group/0002.wav,English,EN-Alto-1,you raise me up,Control_Group,0,0,0,0,1,0,1,non_mix,000010,control_negative,1,1,0.807392,cuda,hard_negative,11,36
English#EN-Alto-1#Mixed_Voice_and_Falsetto#all is found#Control_Group#0000,D:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\English\EN-Alto-1\Mixed_Voice_and_Falsetto\all is found\Control_Group\0000.wav,English/EN-Alto-1/Mixed_Voice_and_Falsetto/all is found/Control_Group/0000.wav,English,EN-Alto-1,all is found,Control_Group,0,0,0,0,0,0,0,non_mix,000000,control_negative,1,1,0.806004,cuda,hard_negative,12,36
English#EN-Alto-1#Mixed_Voice_and_Falsetto#Arriety's song#Control_Group#0008,D:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\English\EN-Alto-1\Mixed_Voice_and_Falsetto\Arriety's song\Control_Group\0008.wav,English/EN-Alto-1/Mixed_Voice_and_Falsetto/Arriety's song/Control_Group/0008.wav,English,EN-Alto-1,Arriety's song,Control_Group,0,0,0,0,1,0,1,non_mix,000010,control_negative,1,1,0.802058,cuda,hard_negative,13,36
English#EN-Alto-1#Mixed_Voice_and_Falsetto#yesterday once more#Control_Group#0017,D:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\English\EN-Alto-1\Mixed_Voice_and_Falsetto\yesterday once more\Control_Group\0017.wav,English/EN-Alto-1/Mixed_Voice_and_Falsetto/yesterday once more/Control_Group/0017.wav,English,EN-Alto-1,yesterday once more,Control_Group,0,0,0,0,1,0,1,non_mix,000010,control_negative,1,1,0.801706,cuda,hard_negative,14,36
English#EN-Alto-1#Mixed_Voice_and_Falsetto#la vie en rose#Control_Group#0003,D:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\English\EN-Alto-1\Mixed_Voice_and_Falsetto\la vie en rose\Control_Group\0003.wav,English/EN-Alto-1/Mixed_Voice_and_Falsetto/la vie en rose/Control_Group/0003.wav,English,EN-Alto-1,la vie en rose,Control_Group,0,0,0,0,0,0,0,non_mix,000000,control_negative,1,1,0.795540,cuda,hard_negative,15,36
Chinese#ZH-Alto-1#Vibrato#多远都要在一起#Control_Group#0002,D:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\Chinese\ZH-Alto-1\Vibrato\多远都要在一起\Control_Group\0002.wav,Chinese/ZH-Alto-1/Vibrato/多远都要在一起/Control_Group/0002.wav,Chinese,ZH-Alto-1,多远都要在一起,Control_Group,0,0,0,0,1,0,1,non_mix,000010,control_negative,,,0.780593,cuda,hard_negative,16,36
Chinese#ZH-Tenor-1#Mixed_Voice_and_Falsetto#修炼爱情#Control_Group#0002,D:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\Chinese\ZH-Tenor-1\Mixed_Voice_and_Falsetto\修炼爱情\Control_Group\0002.wav,Chinese/ZH-Tenor-1/Mixed_Voice_and_Falsetto/修炼爱情/Control_Group/0002.wav,Chinese,ZH-Tenor-1,修炼爱情,Control_Group,0,1,0,0,1,0,1,non_mix,010010,control_negative,,,0.768472,cuda,hard_negative,17,36
Chinese#ZH-Alto-1#Pharyngeal#失落沙洲#Control_Group#0006,D:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\Chinese\ZH-Alto-1\Pharyngeal\失落沙洲\Control_Group\0006.wav,Chinese/ZH-Alto-1/Pharyngeal/失落沙洲/Control_Group/0006.wav,Chinese,ZH-Alto-1,失落沙洲,Control_Group,0,0,0,0,1,0,1,non_mix,000010,control_negative,,,0.754892,cuda,hard_negative,18,36
Chinese#ZH-Alto-1#Mixed_Voice_and_Falsetto#贝加尔湖畔#Control_Group#0011,D:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\Chinese\ZH-Alto-1\Mixed_Voice_and_Falsetto\贝加尔湖畔\Control_Group\0011.wav,Chinese/ZH-Alto-1/Mixed_Voice_and_Falsetto/贝加尔湖畔/Control_Group/0011.wav,Chinese,ZH-Alto-1,贝加尔湖畔,Control_Group,0,0,0,1,1,0,1,non_mix,000110,control_negative,,,0.748547,cuda,hard_negative,19,36
Chinese#ZH-Tenor-1#Breathy#化身孤岛的鲸#Control_Group#0023,D:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\Chinese\ZH-Tenor-1\Breathy\化身孤岛的鲸\Control_Group\0023.wav,Chinese/ZH-Tenor-1/Breathy/化身孤岛的鲸/Control_Group/0023.wav,Chinese,ZH-Tenor-1,化身孤岛的鲸,Control_Group,0,1,0,0,1,0,1,non_mix,010010,control_negative,,,0.747307,cuda,hard_negative,20,36
Chinese#ZH-Alto-1#Pharyngeal#我好想你#Control_Group#0004,D:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\Chinese\ZH-Alto-1\Pharyngeal\我好想你\Control_Group\0004.wav,Chinese/ZH-Alto-1/Pharyngeal/我好想你/Control_Group/0004.wav,Chinese,ZH-Alto-1,我好想你,Control_Group,0,0,0,0,1,0,1,non_mix,000010,control_negative,,,0.730386,cuda,hard_negative,21,36
Chinese#ZH-Alto-1#Vibrato#不再见#Control_Group#0017,D:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\Chinese\ZH-Alto-1\Vibrato\不再见\Control_Group\0017.wav,Chinese/ZH-Alto-1/Vibrato/不再见/Control_Group/0017.wav,Chinese,ZH-Alto-1,不再见,Control_Group,0,0,0,0,1,0,1,non_mix,000010,control_negative,,,0.721111,cuda,hard_negative,22,36
Chinese#ZH-Alto-1#Mixed_Voice_and_Falsetto#菊花台#Falsetto_Group#0018,D:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\Chinese\ZH-Alto-1\Mixed_Voice_and_Falsetto\菊花台\Falsetto_Group\0018.wav,Chinese/ZH-Alto-1/Mixed_Voice_and_Falsetto/菊花台/Falsetto_Group/0018.wav,Chinese,ZH-Alto-1,菊花台,Falsetto_Group,0,1,0,0,1,0,1,non_mix,010010,falsetto_group,,,0.715360,cuda,hard_negative,23,36
Chinese#ZH-Tenor-1#Breathy#会呼吸的痛#Control_Group#0005,D:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\Chinese\ZH-Tenor-1\Breathy\会呼吸的痛\Control_Group\0005.wav,Chinese/ZH-Tenor-1/Breathy/会呼吸的痛/Control_Group/0005.wav,Chinese,ZH-Tenor-1,会呼吸的痛,Control_Group,0,1,0,0,1,0,1,non_mix,010010,control_negative,,,0.711244,cuda,hard_negative,24,36
Chinese#ZH-Tenor-1#Glissando#遇见#Control_Group#0003,D:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\Chinese\ZH-Tenor-1\Glissando\遇见\Control_Group\0003.wav,Chinese/ZH-Tenor-1/Glissando/遇见/Control_Group/0003.wav,Chinese,ZH-Tenor-1,遇见,Control_Group,0,1,0,0,1,0,1,non_mix,010010,control_negative,,,0.707882,cuda,hard_negative,25,36
Chinese#ZH-Alto-1#Mixed_Voice_and_Falsetto#后来#Falsetto_Group#0014,D:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\Chinese\ZH-Alto-1\Mixed_Voice_and_Falsetto\后来\Falsetto_Group\0014.wav,Chinese/ZH-Alto-1/Mixed_Voice_and_Falsetto/后来/Falsetto_Group/0014.wav,Chinese,ZH-Alto-1,后来,Falsetto_Group,0,1,0,0,1,0,1,non_mix,010010,falsetto_group,,,0.698618,cuda,hard_negative,26,36
Chinese#ZH-Tenor-1#Mixed_Voice_and_Falsetto#听海#Falsetto_Group#0000,D:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\Chinese\ZH-Tenor-1\Mixed_Voice_and_Falsetto\听海\Falsetto_Group\0000.wav,Chinese/ZH-Tenor-1/Mixed_Voice_and_Falsetto/听海/Falsetto_Group/0000.wav,Chinese,ZH-Tenor-1,听海,Falsetto_Group,0,1,0,0,1,0,1,non_mix,010010,falsetto_group,,,0.697983,cuda,hard_negative,27,36
Chinese#ZH-Tenor-1#Mixed_Voice_and_Falsetto#枫#Control_Group#0011,D:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\Chinese\ZH-Tenor-1\Mixed_Voice_and_Falsetto\枫\Control_Group\0011.wav,Chinese/ZH-Tenor-1/Mixed_Voice_and_Falsetto/枫/Control_Group/0011.wav,Chinese,ZH-Tenor-1,枫,Control_Group,0,0,0,1,1,0,1,non_mix,000110,control_negative,,,0.677600,cuda,hard_negative,28,36
Chinese#ZH-Alto-1#Mixed_Voice_and_Falsetto#后来#Falsetto_Group#0001,D:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\Chinese\ZH-Alto-1\Mixed_Voice_and_Falsetto\后来\Falsetto_Group\0001.wav,Chinese/ZH-Alto-1/Mixed_Voice_and_Falsetto/后来/Falsetto_Group/0001.wav,Chinese,ZH-Alto-1,后来,Falsetto_Group,0,1,0,0,1,0,1,non_mix,010010,falsetto_group,,,0.675676,cuda,hard_negative,29,36
Chinese#ZH-Alto-1#Vibrato#不再见#Control_Group#0026,D:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\Chinese\ZH-Alto-1\Vibrato\不再见\Control_Group\0026.wav,Chinese/ZH-Alto-1/Vibrato/不再见/Control_Group/0026.wav,Chinese,ZH-Alto-1,不再见,Control_Group,0,0,0,0,1,0,1,non_mix,000010,control_negative,,,0.637440,cuda,hard_negative,30,36
Chinese#ZH-Alto-1#Pharyngeal#我好想你#Control_Group#0011,D:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\Chinese\ZH-Alto-1\Pharyngeal\我好想你\Control_Group\0011.wav,Chinese/ZH-Alto-1/Pharyngeal/我好想你/Control_Group/0011.wav,Chinese,ZH-Alto-1,我好想你,Control_Group,0,0,0,1,1,0,1,non_mix,000110,control_negative,,,0.630514,cuda,hard_negative,31,36
Chinese#ZH-Tenor-1#Mixed_Voice_and_Falsetto#平凡之路#Falsetto_Group#0010,D:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\Chinese\ZH-Tenor-1\Mixed_Voice_and_Falsetto\平凡之路\Falsetto_Group\0010.wav,Chinese/ZH-Tenor-1/Mixed_Voice_and_Falsetto/平凡之路/Falsetto_Group/0010.wav,Chinese,ZH-Tenor-1,平凡之路,Falsetto_Group,0,1,0,0,1,0,1,non_mix,010010,falsetto_group,,,0.583494,cuda,hard_negative,32,36
Chinese#ZH-Tenor-1#Mixed_Voice_and_Falsetto#江南#Control_Group#0002,D:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\Chinese\ZH-Tenor-1\Mixed_Voice_and_Falsetto\江南\Control_Group\0002.wav,Chinese/ZH-Tenor-1/Mixed_Voice_and_Falsetto/江南/Control_Group/0002.wav,Chinese,ZH-Tenor-1,江南,Control_Group,0,0,0,1,1,0,1,non_mix,000110,control_negative,,,0.545679,cuda,hard_negative,33,36
Chinese#ZH-Tenor-1#Mixed_Voice_and_Falsetto#江南#Control_Group#0000,D:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\Chinese\ZH-Tenor-1\Mixed_Voice_and_Falsetto\江南\Control_Group\0000.wav,Chinese/ZH-Tenor-1/Mixed_Voice_and_Falsetto/江南/Control_Group/0000.wav,Chinese,ZH-Tenor-1,江南,Control_Group,0,0,0,1,1,0,1,non_mix,000110,control_negative,,,0.503991,cuda,hard_negative,34,36
Chinese#ZH-Tenor-1#Vibrato#如果爱忘了#Control_Group#0013,D:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\Chinese\ZH-Tenor-1\Vibrato\如果爱忘了\Control_Group\0013.wav,Chinese/ZH-Tenor-1/Vibrato/如果爱忘了/Control_Group/0013.wav,Chinese,ZH-Tenor-1,如果爱忘了,Control_Group,0,1,0,0,1,0,1,non_mix,010010,control_negative,,,0.503736,cuda,hard_negative,35,36
Chinese#ZH-Tenor-1#Mixed_Voice_and_Falsetto#枫#Control_Group#0002,D:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\Chinese\ZH-Tenor-1\Mixed_Voice_and_Falsetto\枫\Control_Group\0002.wav,Chinese/ZH-Tenor-1/Mixed_Voice_and_Falsetto/枫/Control_Group/0002.wav,Chinese,ZH-Tenor-1,枫,Control_Group,0,0,0,1,1,0,1,non_mix,000110,control_negative,,,0.495442,cuda,hard_negative,36,36
