item_name,wav_path,wav_fn,language,singer,song_name,group_name,mix,falsetto,breathy,vibrato,glissando,pharyngeal,any_tech,mix_variant,label_signature,binary_role,mined_mix_prob,mined_device,mined_selection_role,mined_rank,mined_pool_size
Chinese#ZH-Alto-1#Pharyngeal#我好想你#Control_Group#0004,D:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\Chinese\ZH-Alto-1\Pharyngeal\我好想你\Control_Group\0004.wav,Chinese/ZH-Alto-1/Pharyngeal/我好想你/Control_Group/0004.wav,Chinese,ZH-Alto-1,我好想你,Control_Group,0,0,0,0,1,0,1,non_mix,000010,control_negative,0.658027,cuda,hard_negative,11,24
Chinese#ZH-Alto-1#Mixed_Voice_and_Falsetto#可乐#Control_Group#0014,D:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\Chinese\ZH-Alto-1\Mixed_Voice_and_Falsetto\可乐\Control_Group\0014.wav,Chinese/ZH-Alto-1/Mixed_Voice_and_Falsetto/可乐/Control_Group/0014.wav,Chinese,ZH-Alto-1,可乐,Control_Group,0,0,0,0,1,0,1,non_mix,000010,control_negative,0.649167,cuda,hard_negative,12,24
Chinese#ZH-Alto-1#Vibrato#不再见#Control_Group#0025,D:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\Chinese\ZH-Alto-1\Vibrato\不再见\Control_Group\0025.wav,Chinese/ZH-Alto-1/Vibrato/不再见/Control_Group/0025.wav,Chinese,ZH-Alto-1,不再见,Control_Group,0,0,0,0,1,0,1,non_mix,000010,control_negative,0.622158,cuda,hard_negative,13,24
Chinese#ZH-Alto-1#Pharyngeal#失落沙洲#Control_Group#0006,D:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\Chinese\ZH-Alto-1\Pharyngeal\失落沙洲\Control_Group\0006.wav,Chinese/ZH-Alto-1/Pharyngeal/失落沙洲/Control_Group/0006.wav,Chinese,ZH-Alto-1,失落沙洲,Control_Group,0,0,0,0,1,0,1,non_mix,000010,control_negative,0.621690,cuda,hard_negative,14,24
Chinese#ZH-Alto-1#Pharyngeal#我好想你#Control_Group#0009,D:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\Chinese\ZH-Alto-1\Pharyngeal\我好想你\Control_Group\0009.wav,Chinese/ZH-Alto-1/Pharyngeal/我好想你/Control_Group/0009.wav,Chinese,ZH-Alto-1,我好想你,Control_Group,0,1,0,1,1,0,1,non_mix,010110,control_negative,0.621467,cuda,hard_negative,15,24
Chinese#ZH-Tenor-1#Breathy#化身孤岛的鲸#Control_Group#0005,D:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\Chinese\ZH-Tenor-1\Breathy\化身孤岛的鲸\Control_Group\0005.wav,Chinese/ZH-Tenor-1/Breathy/化身孤岛的鲸/Control_Group/0005.wav,Chinese,ZH-Tenor-1,化身孤岛的鲸,Control_Group,0,1,0,0,1,0,1,non_mix,010010,control_negative,0.615997,cuda,hard_negative,16,24
Chinese#ZH-Alto-1#Vibrato#不再见#Control_Group#0016,D:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\Chinese\ZH-Alto-1\Vibrato\不再见\Control_Group\0016.wav,Chinese/ZH-Alto-1/Vibrato/不再见/Control_Group/0016.wav,Chinese,ZH-Alto-1,不再见,Control_Group,0,0,0,0,1,0,1,non_mix,000010,control_negative,0.610291,cuda,hard_negative,17,24
Chinese#ZH-Alto-1#Mixed_Voice_and_Falsetto#忽然之间#Control_Group#0006,D:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\Chinese\ZH-Alto-1\Mixed_Voice_and_Falsetto\忽然之间\Control_Group\0006.wav,Chinese/ZH-Alto-1/Mixed_Voice_and_Falsetto/忽然之间/Control_Group/0006.wav,Chinese,ZH-Alto-1,忽然之间,Control_Group,0,0,0,0,1,0,1,non_mix,000010,control_negative,0.589589,cuda,hard_negative,18,24
Chinese#ZH-Alto-1#Breathy#失落沙洲#Control_Group#0007,D:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\Chinese\ZH-Alto-1\Breathy\失落沙洲\Control_Group\0007.wav,Chinese/ZH-Alto-1/Breathy/失落沙洲/Control_Group/0007.wav,Chinese,ZH-Alto-1,失落沙洲,Control_Group,0,0,0,0,1,0,1,non_mix,000010,control_negative,0.587793,cuda,hard_negative,19,24
Chinese#ZH-Alto-1#Vibrato#南山南#Control_Group#0004,D:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\Chinese\ZH-Alto-1\Vibrato\南山南\Control_Group\0004.wav,Chinese/ZH-Alto-1/Vibrato/南山南/Control_Group/0004.wav,Chinese,ZH-Alto-1,南山南,Control_Group,0,0,0,0,1,0,1,non_mix,000010,control_negative,0.584342,cuda,hard_negative,20,24
Chinese#ZH-Tenor-1#Breathy#给电影人的情书#Control_Group#0013,D:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\Chinese\ZH-Tenor-1\Breathy\给电影人的情书\Control_Group\0013.wav,Chinese/ZH-Tenor-1/Breathy/给电影人的情书/Control_Group/0013.wav,Chinese,ZH-Tenor-1,给电影人的情书,Control_Group,0,0,0,1,1,0,1,non_mix,000110,control_negative,0.580744,cuda,hard_negative,21,24
Chinese#ZH-Tenor-1#Mixed_Voice_and_Falsetto#江南#Control_Group#0009,D:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\Chinese\ZH-Tenor-1\Mixed_Voice_and_Falsetto\江南\Control_Group\0009.wav,Chinese/ZH-Tenor-1/Mixed_Voice_and_Falsetto/江南/Control_Group/0009.wav,Chinese,ZH-Tenor-1,江南,Control_Group,0,0,0,1,1,0,1,non_mix,000110,control_negative,0.568560,cuda,hard_negative,22,24
Chinese#ZH-Tenor-1#Mixed_Voice_and_Falsetto#枫#Control_Group#0011,D:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\Chinese\ZH-Tenor-1\Mixed_Voice_and_Falsetto\枫\Control_Group\0011.wav,Chinese/ZH-Tenor-1/Mixed_Voice_and_Falsetto/枫/Control_Group/0011.wav,Chinese,ZH-Tenor-1,枫,Control_Group,0,0,0,1,1,0,1,non_mix,000110,control_negative,0.547113,cuda,hard_negative,23,24
Chinese#ZH-Tenor-1#Glissando#遇见#Control_Group#0003,D:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\Chinese\ZH-Tenor-1\Glissando\遇见\Control_Group\0003.wav,Chinese/ZH-Tenor-1/Glissando/遇见/Control_Group/0003.wav,Chinese,ZH-Tenor-1,遇见,Control_Group,0,1,0,0,1,0,1,non_mix,010010,control_negative,0.541902,cuda,hard_negative,24,24
